year,en,%
197012,108,948.1,0
197112,115,383.4,5.9067574377
197212,126,837.1,9.9266445607
197312,134,461.0,6.0107807574
197412,136,530.3,1.5389592521
197512,141,596.8,3.710897874
197612,146,311.8,3.3298775114
197712,151,877.1,3.8037260153
197812,160,368.7,5.5910996457
197912,168,927.0,5.3366398805

198012,170,269.8,0.794899572
198112,173,812.0,2.0803454283
198212,181,582.2,4.4704623386
198312,185,916.7,2.3870731823
198412,190,984.8,2.7260057865
198512,198,826.5,4.1059288488
198612,204,675.8,2.9419116667
198712,213,815.1,4.4652567622
198812,224,090.4,4.8056942657
198912,232,857.9,3.9124835334
199012,244,077.3,4.8181315729
199112,251,265.8,2.9451735168
199212,255,658.3,1.7481487731
199312,260,109.3,1.7409956962
199412,265,953.5,2.2468247002
199512,271,525.1,2.0949526891
199612,279,093.7,2.7874402772
199712,277,290.8,-0.6459837682
199812,278,497.3,0.4351027874
199912,279,142.9,0.2318155329
200012,283,008.7,1.3848820801
200112,286,889.6,1.3713005996
200212,288,811.6,0.6699441179
200312,293,616.9,1.6638182123