categories,1985/01,1985/02,1985/03,1985/04,1985/05,1985/06,1985/07,1985/08,1985/09,1985/10,1985/11,1985/12,1986/01,1986/02,1986/03,1986/04,1986/05,1986/06,1986/07,1986/08,1986/09,1986/10,1986/11,1986/12,1987/01,1987/02,1987/03,1987/04,1987/05,1987/06,1987/07,1987/08,1987/09,1987/10,1987/11,1987/12,1988/01,1988/02,1988/03,1988/04,1988/05,1988/06,1988/07,1988/08,1988/09,1988/10,1988/11,1988/12,1989/01,1989/02,1989/03,1989/04,1989/05,1989/06,1989/07,1989/08,1989/09,1989/10,1989/11,1989/12,1990/01,1990/02,1990/03,1990/04,1990/05,1990/06,1990/07,1990/08,1990/09,1990/10,1990/11,1990/12,1991/01,1991/02,1991/03,1991/04,1991/05,1991/06,1991/07,1991/08,1991/09,1991/10,1991/11,1991/12,1992/01,1992/02,1992/03,1992/04,1992/05,1992/06,1992/07,1992/08,1992/09,1992/10,1992/11,1992/12,1993/01,1993/02,1993/03,1993/04,1993/05,1993/06,1993/07,1993/08,1993/09,1993/10,1993/11,1993/12,1994/01,1994/02,1994/03,1994/04,1994/05,1994/06,1994/07,1994/08,1994/09,1994/10,1994/11,1994/12,1995/01,1995/02,1995/03,1995/04,1995/05,1995/06,1995/07,1995/08,1995/09,1995/10,1995/11,1995/12,1996/01,1996/02,1996/03,1996/04,1996/05,1996/06,1996/07,1996/08,1996/09,1996/10,1996/11,1996/12,1997/01,1997/02,1997/03,1997/04,1997/05,1997/06,1997/07,1997/08,1997/09,1997/10,1997/11,1997/12,1998/01,1998/02,1998/03,1998/04,1998/05,1998/06,1998/07,1998/08,1998/09,1998/10,1998/11,1998/12,1999/01,1999/02,1999/03,1999/04,1999/05,1999/06,1999/07,1999/08,1999/09,1999/10,1999/11,1999/12,2000/01,2000/02,2000/03,2000/04,2000/05,2000/06,2000/07,2000/08,2000/09,2000/10,2000/11,2000/12,2001/01,2001/02,2001/03,2001/04,2001/05,2001/06,2001/07,2001/08,2001/09,2001/10,2001/11,2001/12,2002/01,2002/02,2002/03,2002/04,2002/05,2002/06,2002/07,2002/08,2002/09,2002/10,2002/11,2002/12,2003/01,2003/02,2003/03,2003/04,2003/05,2003/06,2003/07,2003/08,2003/09,2003/10,2003/11,2003/12,2004/01,2004/02,2004/03,2004/04,2004/05,2004/06,2004/07,2004/08,2004/09,2004/10,2004/11,2004/12,2005/01,2005/02,2005/03,2005/04,2005/05,2005/06,2005/07,2005/08,2005/09,2005/10,2005/11,2005/12,2006/01,2006/02,2006/03,2006/04,2006/05,2006/06,2006/07,2006/08,2006/09,2006/10,2006/11,2006/12,2007/01,2007/02,2007/03,2007/04,2007/05,2007/06,2007/07,2007/08,2007/09,2007/10,2007/11,2007/12,2008/01,2008/02,2008/03,2008/04,2008/05,2008/06,2008/07,2008/08,2008/09,2008/10,2008/11,2008/12,2009/01,2009/02,2009/03,2009/04,2009/05,2009/06,2009/07,2009/08,2009/09,2009/10,2009/11,2009/12,2010/01,2010/02,2010/03,2010/04,2010/05,2010/06,2010/07,2010/08,2010/09,2010/10,2010/11,2010/12,2011/01,2011/02,2011/03,2011/04,2011/05,2011/06,2011/07,2011/08,2011/09,2011/10,2011/11,2011/12,2012/01,2012/02,2012/03,2012/04,2012/05,2012/06,2012/07,2012/08,2012/09,2012/10,2012/11,2012/12
CA (a+b+c),0,0,18592,0,0,34024,0,0,32106,0,0,34976,0,0,24625,0,0,39592,0,0,38631,0,0,39589,0,0,31156,0,0,31216,0,0,30098,0,0,29392,0,0,22545,0,0,22872,0,0,25934,0,0,30110,0,0,21359,0,0,21139,0,0,23138,0,0,21477,0,0,22634,0,0,18963,0,0,14883,0,0,8256,0,0,13676,0,0,24560,0,0,25334,0,0,28187,0,0,34916,0,0,33785,0,0,34365,0,0,39283,0,0,42896,0,0,34378,0,0,34043,0,0,35373,0,0,38422,0,0,34341,0,0,29098,0,0,31564,0,0,29281,0,0,25899,0,0,25591,0,0,23091,0,0,20205,0,0,15284,0,0,17008,0,0,19034,0,0,21564,0,0,29766,0,0,28809,0,0,37200,0,0,36547,0,0,38882,0,0,42182,0,0,37667,0,0,33181,0,0,33574,0,0,34414,0,0,29353,0,0,35067,0,0,33871,0,0,34900,0,0,24917,0,0,30313,0,0,21861,0,0,26992,0,0,27357,0,0,42914,0,0,35779,0,0,33824,0,0,28879,0,0,35390,0,0,37751,0,0,45199,0,0,39329,0,0,50694,0,0,45419,0,0,48230,0,0,41841,0,0,46889,0,0,40962,0,0,47543,0,0,47579,0,0,55551,0,0,39815,0,0,53054,0,0,50722,0,0,68799,0,0,56274,0,0,68854,0,0,55415,0,0,66678,0,0,38991,0,0,42620,0,0,18329,0,0,26131,0,0,33478,0,0,42214,0,0,35533,0,0,52157,0,0,38203,0,0,50231,0,0,38287,0,0,39872,0,0,15371,0,0,31007,0,0,9257,0,0,20544,0,0,11377,0,0,16211,0,0,-1096
G&S,0,0,16177,0,0,29309,0,0,29079,0,0,32171,0,0,21980,0,0,35289,0,0,36084,0,0,36254,0,0,27742,0,0,26246,0,0,24372,0,0,24571,0,0,16816,0,0,17642,0,0,20260,0,0,24631,0,0,15706,0,0,15297,0,0,15420,0,0,13272,0,0,10434,0,0,11163,0,0,11601,0,0,5430,0,0,14392,0,0,16307,0,0,19765,0,0,22455,0,0,24197,0,0,22579,0,0,25683,0,0,29595,0,0,29037,0,0,23768,0,0,27463,0,0,26745,0,0,27671,0,0,23605,0,0,22368,0,0,24701,0,0,19920,0,0,17648,0,0,17191,0,0,14786,0,0,9148,0,0,2066,0,0,4411,0,0,7549,0,0,5182,0,0,13903,0,0,14765,0,0,23830,0,0,20271,0,0,24454,0,0,25630,0,0,24944,0,0,20602,0,0,19243,0,0,20232,0,0,18574,0,0,20446,0,0,20545,0,0,20676,0,0,12631,0,0,9721,0,0,4948,0,0,7943,0,0,9508,0,0,16167,0,0,17743,0,0,15031,0,0,15749,0,0,15085,0,0,20847,0,0,22711,0,0,24910,0,0,27585,0,0,26117,0,0,25141,0,0,23118,0,0,21248,0,0,18181,0,0,16281,0,0,21220,0,0,18391,0,0,13717,0,0,17252,0,0,24101,0,0,26790,0,0,20661,0,0,27462,0,0,23339,0,0,19439,0,0,6946,0,0,-56,0,0,-7430,0,0,-8338,0,0,4752,0,0,9155,0,0,15680,0,0,18227,0,0,15138,0,0,17032,0,0,15250,0,0,4806,0,0,-15575,0,0,-6908,0,0,-16104,0,0,-14377,0,0,-19601,0,0,-23236,0,0,-26925
TB,0,0,22007,0,0,34559,0,0,35372,0,0,37579,0,0,26955,0,0,40445,0,0,41896,0,0,41953,0,0,33784,0,0,33705,0,0,32980,0,0,31850,0,0,24797,0,0,27088,0,0,31490,0,0,34769,0,0,26711,0,0,28059,0,0,29342,0,0,26300,0,0,24250,0,0,27190,0,0,28402,0,0,20687,0,0,26557,0,0,30456,0,0,35728,0,0,36490,0,0,38558,0,0,36803,0,0,40643,0,0,41760,0,0,41099,0,0,36018,0,0,39083,0,0,38616,0,0,38973,0,0,35634,0,0,35982,0,0,36733,0,0,32682,0,0,30057,0,0,31139,0,0,29567,0,0,23798,0,0,18290,0,0,21544,0,0,24853,0,0,20940,0,0,29732,0,0,31446,0,0,38860,0,0,33889,0,0,40842,0,0,42044,0,0,40752,0,0,34134,0,0,33724,0,0,36825,0,0,33100,0,0,31577,0,0,32964,0,0,33585,0,0,25593,0,0,21613,0,0,20004,0,0,22098,0,0,20298,0,0,26230,0,0,30554,0,0,28410,0,0,30308,0,0,24466,0,0,27426,0,0,31467,0,0,36408,0,0,34814,0,0,36435,0,0,34762,0,0,33012,0,0,27362,0,0,25376,0,0,23738,0,0,26872,0,0,19647,0,0,21153,0,0,23724,0,0,30119,0,0,29842,0,0,28757,0,0,34147,0,0,30477,0,0,23480,0,0,13448,0,0,4864,0,0,-1514,0,0,-5207,0,0,11678,0,0,13432,0,0,20478,0,0,20411,0,0,20358,0,0,19787,0,0,19234,0,0,5577,0,0,-10534,0,0,-1762,0,0,-9446,0,0,-12956,0,0,-11298,0,0,-15144,0,0,-18654
Exprt,0,0,99427,0,0,109243,0,0,104546,0,0,102503,0,0,84450,0,0,89420,0,0,84227,0,0,87900,0,0,77675,0,0,80063,0,0,83576,0,0,83919,0,0,76293,0,0,80248,0,0,88636,0,0,89081,0,0,86460,0,0,92336,0,0,97544,0,0,97637,0,0,97713,0,0,102347,0,0,102790,0,0,104029,0,0,101360,0,0,100186,0,0,105512,0,0,107593,0,0,104003,0,0,103033,0,0,106770,0,0,107010,0,0,103042,0,0,94741,0,0,96496,0,0,97361,0,0,97010,0,0,95415,0,0,98471,0,0,102589,0,0,98348,0,0,94627,0,0,101866,0,0,107755,0,0,105194,0,0,104225,0,0,108451,0,0,117788,0,0,117872,0,0,122933,0,0,122721,0,0,131664,0,0,121568,0,0,122838,0,0,126631,0,0,117628,0,0,109345,0,0,112416,0,0,118074,0,0,118112,0,0,118559,0,0,122226,0,0,126512,0,0,127960,0,0,121349,0,0,116711,0,0,114577,0,0,113198,0,0,117373,0,0,123125,0,0,122516,0,0,131783,0,0,123711,0,0,126958,0,0,131438,0,0,137236,0,0,138031,0,0,144205,0,0,148198,0,0,152517,0,0,143380,0,0,150482,0,0,159201,0,0,173256,0,0,168783,0,0,172555,0,0,183440,0,0,191530,0,0,189128,0,0,194825,0,0,202563,0,0,210738,0,0,201320,0,0,199402,0,0,210332,0,0,162295,0,0,105088,0,0,119743,0,0,135598,0,0,148142,0,0,152186,0,0,161836,0,0,161068,0,0,164128,0,0,157480,0,0,149272,0,0,163496,0,0,157000,0,0,156509,0,0,159147,0,0,150681,0,0,147932
Imprt,0,0,77420,0,0,74684,0,0,69174,0,0,64924,0,0,57494,0,0,48975,0,0,42331,0,0,45947,0,0,43892,0,0,46358,0,0,50595,0,0,52070,0,0,51496,0,0,53160,0,0,57146,0,0,54311,0,0,59749,0,0,64278,0,0,68203,0,0,71337,0,0,73464,0,0,75155,0,0,74388,0,0,83343,0,0,74803,0,0,69731,0,0,69785,0,0,71104,0,0,65445,0,0,66231,0,0,66128,0,0,65251,0,0,61942,0,0,58724,0,0,57411,0,0,58746,0,0,58036,0,0,59783,0,0,62490,0,0,65857,0,0,65666,0,0,64570,0,0,70728,0,0,78189,0,0,81395,0,0,85935,0,0,86908,0,0,92935,0,0,96932,0,0,93201,0,0,91275,0,0,92804,0,0,87679,0,0,81996,0,0,84587,0,0,76877,0,0,75210,0,0,78692,0,0,81250,0,0,85013,0,0,86982,0,0,89261,0,0,92927,0,0,102367,0,0,99736,0,0,96707,0,0,92479,0,0,92900,0,0,91143,0,0,92570,0,0,94105,0,0,101475,0,0,99245,0,0,99531,0,0,99971,0,0,100828,0,0,103217,0,0,107770,0,0,113436,0,0,119505,0,0,116018,0,0,125106,0,0,135463,0,0,146384,0,0,149137,0,0,151402,0,0,159716,0,0,161411,0,0,159285,0,0,166068,0,0,168416,0,0,180261,0,0,177840,0,0,185953,0,0,205468,0,0,163810,0,0,110295,0,0,108066,0,0,122166,0,0,127665,0,0,131775,0,0,141478,0,0,141281,0,0,144895,0,0,151904,0,0,159806,0,0,165258,0,0,166445,0,0,169464,0,0,170445,0,0,165825,0,0,166586
Services,0,0,-5831,0,0,-5250,0,0,-6292,0,0,-5408,0,0,-4974,0,0,-5155,0,0,-5812,0,0,-5699,0,0,-6042,0,0,-7460,0,0,-8609,0,0,-7278,0,0,-7984,0,0,-9447,0,0,-11230,0,0,-10139,0,0,-11004,0,0,-12761,0,0,-13922,0,0,-13026,0,0,-13816,0,0,-16027,0,0,-16800,0,0,-15256,0,0,-12165,0,0,-14149,0,0,-15963,0,0,-14034,0,0,-14360,0,0,-14224,0,0,-14961,0,0,-12164,0,0,-12062,0,0,-12251,0,0,-11621,0,0,-11869,0,0,-11302,0,0,-12028,0,0,-13613,0,0,-12033,0,0,-12760,0,0,-12409,0,0,-13948,0,0,-14781,0,0,-14650,0,0,-16225,0,0,-17133,0,0,-17305,0,0,-15758,0,0,-15829,0,0,-16681,0,0,-15030,0,0,-13618,0,0,-16387,0,0,-16414,0,0,-15808,0,0,-13532,0,0,-14482,0,0,-16593,0,0,-14526,0,0,-11131,0,0,-12419,0,0,-12909,0,0,-12961,0,0,-11892,0,0,-15056,0,0,-14155,0,0,-10790,0,0,-10062,0,0,-12811,0,0,-13379,0,0,-14560,0,0,-9381,0,0,-6579,0,0,-8757,0,0,-11498,0,0,-7229,0,0,-10318,0,0,-9621,0,0,-9894,0,0,-6114,0,0,-7195,0,0,-7457,0,0,-5652,0,0,-1256,0,0,-7436,0,0,-6473,0,0,-6018,0,0,-3052,0,0,-8096,0,0,-6684,0,0,-7138,0,0,-4041,0,0,-6502,0,0,-4920,0,0,-5916,0,0,-3131,0,0,-6926,0,0,-4277,0,0,-4798,0,0,-2184,0,0,-5220,0,0,-2755,0,0,-3984,0,0,-771,0,0,-5041,0,0,-5147,0,0,-6658,0,0,-1422,0,0,-8303,0,0,-8092,0,0,-8270
Income,0,0,3316,0,0,5384,0,0,3712,0,0,3624,0,0,3556,0,0,5036,0,0,3191,0,0,3892,0,0,4514,0,0,5880,0,0,6618,0,0,6471,0,0,6755,0,0,6428,0,0,6999,0,0,6254,0,0,6974,0,0,6614,0,0,8765,0,0,9420,0,0,13535,0,0,8468,0,0,5578,0,0,5293,0,0,11792,0,0,9039,0,0,7431,0,0,6728,0,0,11637,0,0,12280,0,0,10062,0,0,11146,0,0,15219,0,0,12075,0,0,8096,0,0,9939,0,0,12464,0,0,11663,0,0,8742,0,0,8438,0,0,11259,0,0,9576,0,0,10495,0,0,10243,0,0,14142,0,0,15353,0,0,14749,0,0,13888,0,0,20238,0,0,18269,0,0,15797,0,0,16068,0,0,19763,0,0,16767,0,0,19117,0,0,15795,0,0,19192,0,0,16463,0,0,16801,0,0,13286,0,0,18200,0,0,15224,0,0,16668,0,0,14960,0,0,22948,0,0,19428,0,0,21450,0,0,20181,0,0,25694,0,0,20054,0,0,21381,0,0,15535,0,0,23235,0,0,18575,0,0,24345,0,0,16658,0,0,25543,0,0,21015,0,0,25250,0,0,20923,0,0,29535,0,0,24900,0,0,32509,0,0,27255,0,0,41831,0,0,28897,0,0,38306,0,0,29076,0,0,47056,0,0,38338,0,0,44408,0,0,34867,0,0,51706,0,0,34963,0,0,46031,0,0,28533,0,0,38711,0,0,31891,0,0,35140,0,0,21999,0,0,37294,0,0,25813,0,0,35795,0,0,25247,0,0,39261,0,0,33493,0,0,39987,0,0,27642,0,0,38948,0,0,33814,0,0,41425,0,0,28426
CT,0,0,-902,0,0,-670,0,0,-687,0,0,-818,0,0,-911,0,0,-732,0,0,-643,0,0,-556,0,0,-1101,0,0,-910,0,0,-892,0,0,-1650,0,0,-1024,0,0,-1199,0,0,-1325,0,0,-775,0,0,-1321,0,0,-772,0,0,-1045,0,0,-1216,0,0,-1336,0,0,-668,0,0,-2298,0,0,-2466,0,0,-12508,0,0,-785,0,0,-1860,0,0,-997,0,0,-920,0,0,-1074,0,0,-1379,0,0,-1460,0,0,-1360,0,0,-1465,0,0,-1514,0,0,-1312,0,0,-1712,0,0,-927,0,0,-2013,0,0,-1573,0,0,-1898,0,0,-1324,0,0,-2093,0,0,-1938,0,0,-3086,0,0,-2135,0,0,-2152,0,0,-2403,0,0,-3856,0,0,-2406,0,0,-1753,0,0,-2698,0,0,-3487,0,0,-2339,0,0,-2565,0,0,-3073,0,0,-6613,0,0,-2132,0,0,-2619,0,0,-2506,0,0,-3579,0,0,-1898,0,0,-2444,0,0,-2675,0,0,-2356,0,0,-2515,0,0,-2401,0,0,-2332,0,0,1053,0,0,-2018,0,0,-2588,0,0,-2405,0,0,-2930,0,0,-1672,0,0,-1856,0,0,-2239,0,0,-2433,0,0,-1713,0,0,-2162,0,0,-2200,0,0,-3894,0,0,-2120,0,0,-1247,0,0,-896,0,0,-4671,0,0,-2799,0,0,-2504,0,0,-2456,0,0,-5047,0,0,-2725,0,0,-3017,0,0,-2792,0,0,-4468,0,0,-2919,0,0,-3355,0,0,-2773,0,0,-4243,0,0,-3165,0,0,-2081,0,0,-2146,0,0,-3363,0,0,-2748,0,0,-2596,0,0,-2209,0,0,-4196,0,0,-2547,0,0,-2072,0,0,-2281,0,0,-4027,0,0,-2836,0,0,-1978,0,0,-2598
C&FA(d+e),0,0,-22554,0,0,-36103,0,0,-31897,0,0,-39580,0,0,-25799,0,0,-34368,0,0,-31061,0,0,-31275,0,0,-14449,0,0,-16477,0,0,-24680,0,0,-5905,0,0,-27413,0,0,-15572,0,0,-14196,0,0,-26239,0,0,-23652,0,0,-22529,0,0,-11956,0,0,-16514,0,0,-32606,0,0,-18917,0,0,-3744,0,0,6588,0,0,-20941,0,0,-23277,0,0,-23484,0,0,-24960,0,0,-44558,0,0,-35213,0,0,-24275,0,0,-25119,0,0,-46372,0,0,-21583,0,0,-15274,0,0,-33806,0,0,-39158,0,0,-17162,0,0,-13533,0,0,-20071,0,0,-26836,0,0,-17176,0,0,6189,0,0,-24931,0,0,10983,0,0,-7809,0,0,-9967,0,0,-26632,0,0,-36703,0,0,-24280,0,0,-37211,0,0,-53130,0,0,-41566,0,0,-78725,0,0,-27883,0,0,-22648,0,0,-39245,0,0,-2451,0,0,-6837,0,0,-14210,0,0,-26319,0,0,-29502,0,0,-17678,0,0,-20735,0,0,-25389,0,0,-34833,0,0,7223,0,0,-8728,0,0,-48057,0,0,4404,0,0,-16651,0,0,-24471,0,0,-13773,0,0,34260,0,0,23848,0,0,33006,0,0,114262,0,0,-38235,0,0,-40355,0,0,-18302,0,0,-45077,0,0,-25689,0,0,-33561,0,0,-35742,0,0,-45422,0,0,-22351,0,0,-33337,0,0,-23555,0,0,-73086,0,0,-44528,0,0,-59967,0,0,-47801,0,0,-71234,0,0,-39666,0,0,-31685,0,0,-41311,0,0,-60391,0,0,-22896,0,0,-30631,0,0,-28759,0,0,-70188,0,0,-30508,0,0,-51420,0,0,-24855,0,0,-48853,0,0,-5550,0,0,-3697,0,0,69821,0,0,-30956,0,0,-30183,0,0,-23904,0,0,-61
FA,0,0,-21988,0,0,-35945,0,0,-31740,0,0,-39442,0,0,-25298,0,0,-34269,0,0,-30950,0,0,-31127,0,0,-13864,0,0,-16287,0,0,-24531,0,0,-5697,0,0,-26738,0,0,-15397,0,0,-13978,0,0,-26009,0,0,-22725,0,0,-22355,0,0,-11759,0,0,-15937,0,0,-31764,0,0,-18792,0,0,-3486,0,0,6893,0,0,-20192,0,0,-23039,0,0,-23163,0,0,-24651,0,0,-43836,0,0,-35076,0,0,-23922,0,0,-24691,0,0,-45611,0,0,-21474,0,0,-14844,0,0,-33458,0,0,-38114,0,0,-17030,0,0,-13089,0,0,-19771,0,0,-25816,0,0,-17118,0,0,6836,0,0,-24511,0,0,12663,0,0,-7167,0,0,-9163,0,0,-26221,0,0,-34412,0,0,-23500,0,0,-35924,0,0,-52609,0,0,-35032,0,0,-77602,0,0,-17879,0,0,-20994,0,0,-30938,0,0,1647,0,0,-1053,0,0,-13311,0,0,-21433,0,0,-28509,0,0,-14560,0,0,-19785,0,0,-23932,0,0,-34195,0,0,7971,0,0,-8108,0,0,-46126,0,0,5254,0,0,-15629,0,0,-24057,0,0,-12430,0,0,36320,0,0,24401,0,0,33723,0,0,116530,0,0,-37919,0,0,-39666,0,0,-16442,0,0,-43856,0,0,-24978,0,0,-33181,0,0,-32563,0,0,-42477,0,0,-20946,0,0,-32990,0,0,-22718,0,0,-70589,0,0,-44307,0,0,-59262,0,0,-46495,0,0,-69612,0,0,-38917,0,0,-30498,0,0,-39286,0,0,-59413,0,0,-22159,0,0,-28780,0,0,-27673,0,0,-68976,0,0,-29815,0,0,-49777,0,0,-24062,0,0,-47178,0,0,-5505,0,0,-3617,0,0,67739,0,0,-31560,0,0,-30404,0,0,-22714,0,0,412
CapA,0,0,-566,0,0,-161,0,0,-158,0,0,-139,0,0,-499,0,0,-99,0,0,-110,0,0,-149,0,0,-585,0,0,-190,0,0,-151,0,0,-207,0,0,-674,0,0,-175,0,0,-218,0,0,-230,0,0,-926,0,0,-174,0,0,-197,0,0,-576,0,0,-842,0,0,-125,0,0,-259,0,0,-306,0,0,-748,0,0,-237,0,0,-321,0,0,-308,0,0,-723,0,0,-136,0,0,-354,0,0,-428,0,0,-763,0,0,-109,0,0,-430,0,0,-348,0,0,-1045,0,0,-132,0,0,-442,0,0,-301,0,0,-1021,0,0,-58,0,0,-646,0,0,-419,0,0,-1680,0,0,-641,0,0,-804,0,0,-411,0,0,-2290,0,0,-780,0,0,-1288,0,0,-521,0,0,-6533,0,0,-1123,0,0,-10003,0,0,-1653,0,0,-8307,0,0,-4098,0,0,-5784,0,0,-899,0,0,-4886,0,0,-994,0,0,-3117,0,0,-950,0,0,-1457,0,0,-638,0,0,-748,0,0,-619,0,0,-1931,0,0,-850,0,0,-1022,0,0,-414,0,0,-1343,0,0,-2060,0,0,-552,0,0,-717,0,0,-2268,0,0,-315,0,0,-690,0,0,-1860,0,0,-1221,0,0,-711,0,0,-379,0,0,-3179,0,0,-2944,0,0,-1405,0,0,-347,0,0,-837,0,0,-2497,0,0,-221,0,0,-706,0,0,-1307,0,0,-1622,0,0,-749,0,0,-1187,0,0,-2025,0,0,-979,0,0,-737,0,0,-1851,0,0,-1086,0,0,-1212,0,0,-693,0,0,-1643,0,0,-794,0,0,-1675,0,0,-45,0,0,-80,0,0,2082,0,0,604,0,0,221,0,0,-1191,0,0,-473
CiAS,0,0,-409,0,0,-2501,0,0,873,0,0,2639,0,0,-2284,0,0,-9908,0,0,-11516,0,0,-1126,0,0,-24277,0,0,-15610,0,0,-4178,0,0,-11427,0,0,-4565,0,0,-4216,0,0,-4834,0,0,-7640,0,0,-2748,0,0,13625,0,0,5235,0,0,2375,0,0,17023,0,0,121,0,0,-1607,0,0,-1834,0,0,8410,0,0,2028,0,0,2382,0,0,-1429,0,0,-186,0,0,2295,0,0,-1039,0,0,-1823,0,0,-1435,0,0,-18554,0,0,-9215,0,0,-769,0,0,-5826,0,0,-9158,0,0,-5565,0,0,-5305,0,0,-14816,0,0,-13037,0,0,-23122,0,0,-3260,0,0,-23200,0,0,-7549,0,0,-5304,0,0,-3370,0,0,-4540,0,0,-4476,0,0,-4338,0,0,5693,0,0,-4496,0,0,23967,0,0,-5224,0,0,-4262,0,0,-10871,0,0,-30556,0,0,-27936,0,0,-18600,0,0,-20820,0,0,-18228,0,0,-7280,0,0,-6281,0,0,-2554,0,0,-5318,0,0,-30101,0,0,-11392,0,0,-5008,0,0,-38784,0,0,-10247,0,0,-3930,0,0,-29027,0,0,-49642,0,0,-68614,0,0,-68006,0,0,-156509,0,0,-5349,0,0,-5728,0,0,-5089,0,0,-5618,0,0,-6047,0,0,-6770,0,0,-6127,0,0,-8610,0,0,-9550,0,0,-9161,0,0,-9875,0,0,-10865,0,0,-10564,0,0,-10765,0,0,-10779,0,0,-8731,0,0,-7580,0,0,-8839,0,0,-6851,0,0,-1487,0,0,-2622,0,0,-16736,0,0,-4420,0,0,-214,0,0,-7130,0,0,-25019,0,0,-5563,0,0,-14324,0,0,-2751,0,0,-40362,0,0,-80461,0,0,8634,0,0,12700,0,0,3538,0,0,5643
E&O,0,0,4371,0,0,4581,0,0,-1081,0,0,1965,0,0,3456,0,0,4684,0,0,3945,0,0,-7188,0,0,7571,0,0,872,0,0,-1240,0,0,-12060,0,0,9433,0,0,-3085,0,0,-6903,0,0,3769,0,0,5042,0,0,-12235,0,0,-16418,0,0,-7339,0,0,-7051,0,0,-168,0,0,-9532,0,0,-13010,0,0,-1146,0,0,-3311,0,0,-4232,0,0,-1798,0,0,9828,0,0,-867,0,0,-9052,0,0,-12341,0,0,4913,0,0,5758,0,0,-9554,0,0,-799,0,0,6563,0,0,-8021,0,0,-10000,0,0,-6190,0,0,12372,0,0,4312,0,0,-8658,0,0,5101,0,0,-7988,0,0,73,0,0,-1737,0,0,10968,0,0,19679,0,0,-1010,0,0,12740,0,0,10237,0,0,9515,0,0,15876,0,0,-9075,0,0,-10757,0,0,16936,0,0,-566,0,0,359,0,0,3456,0,0,12072,0,0,13860,0,0,-9943,0,0,2099,0,0,-2370,0,0,18289,0,0,-4115,0,0,-7238,0,0,10151,0,0,-1399,0,0,-6927,0,0,-478,0,0,7410,0,0,-22369,0,0,-434,0,0,-4330,0,0,-8447,0,0,-1835,0,0,-2147,0,0,-18450,0,0,3806,0,0,-9226,0,0,-7212,0,0,-5710,0,0,-1519,0,0,-7914,0,0,-10556,0,0,-17292,0,0,15153,0,0,-1181,0,0,1879,0,0,3166,0,0,13286,0,0,8256,0,0,-2097,0,0,29833,0,0,35748,0,0,-7960,0,0,5154,0,0,-2355,0,0,18245,0,0,-566,0,0,26208,0,0,-7869,0,0,23305,0,0,-7071,0,0,13052,0,0,1382,0,0,1779,0,0,6105,0,0,4155,0,0,-4486